,sentence,label
0,"Company Participants Deborah Crawford - Vice President, Investor Relations Mark Zuckerberg - Chief Executive Officer Dave Wehner - Chief Financial Officer Susan Li - Vice President, Finance and Incoming Chief Financial Officer Marne Levine - Chief Business Officer Conference Call Participants Brian Nowak - Morgan Stanley Mark Shmulik - Bernstein Justin Post - Bank of America Doug Anmuth - JPMorgan Eric Sheridan - Goldman Sachs Youssef Squali - Truist Mark Mahaney - Evercore ISI Brent Thill - Jefferies Operator Good afternoon.",neutral
1,My name is Martin and I will be your conference operator today.,neutral
2,"At this time, I would like to welcome everyone to the Meta Third Quarter Earnings Conference Call.",neutral
3,[Operator Instructions] This call will be recorded.,neutral
4,Thank you very much.,neutral
5,"Ms. Deborah Crawford, Meta’s Vice President of Investor Relations, you may begin.",neutral
6,Deborah Crawford Thank you.,neutral
7,Good afternoon and welcome to Meta Platforms third quarter 2022 earnings conference call.,neutral
8,"Joining me today to discuss our results are Mark Zuckerberg, CEO; and Dave Wehner, CFO.",neutral
9,"Susan Li, VP of Finance and our Incoming CFO and Marne Levine, Chief Business Officer, are also on the call and will join Mark and Dave for the Q&A portion.",neutral
10,"Before we get started, I would like to take this opportunity to remind you that our remarks today will include forward-looking statements.",neutral
11,Actual results may differ materially from those contemplated by these forward-looking statements.,neutral
12,Factors that could cause these results to differ materially are set forth in today’s press release and in our quarterly report on Form 10-Q filed with the SEC.,neutral
13,Any forward-looking statements that we make on this call are based on assumptions as of today and we undertake no obligation to update these statements as a result of new information or future events.,neutral
14,"During this call, we may present both GAAP and non-GAAP financial measures.",neutral
15,A reconciliation of GAAP to non-GAAP measures is included in today’s earnings press release.,neutral
16,The press release and an accompanying investor presentation are available on our website at investor.fb.com.,neutral
17,"And now, I’d like to turn the call over to Mark.",neutral
18,"Mark Zuckerberg Hey, everyone.",neutral
19,Thanks for joining today.,neutral
20,Our community continued to grow this quarter.,positive
21,We now reach more than 3.7 billion people monthly across our Family of Apps.,positive
22,"And while we continue to navigate some challenging dynamics of volatile macro economy, increasing competition, ad signal loss and growing costs from our long-term investments, I have to say that our product trends look better from what I see than some of the commentary I have seen suggests.",positive
23,There has been a bunch of speculation about engagement on our apps.,negative
24,And what we are seeing is more positive.,positive
25,"On Facebook specifically, the number of people using the service each day is the highest it’s ever been, nearly 2 billion and engagement trends are strong.",positive
26,Instagram has more than 2 billion monthly actives.,positive
27,"WhatsApp has more than 2 billion daily actives, also with the exciting trend that North America is now our fastest growing region.",positive
28,"Across the family, some apps maybe saturated in some countries or some demographics, but overall, our apps continue to grow from a large base.",positive
29,"We are also seeing engagement grow, especially strong growth in Reels.",positive
30,And I’ll share more details about that when I discuss our product priorities shortly.,neutral
31,"In terms of our business, total revenue grew slightly this quarter on a constant currency basis.",positive
32,"We are still behind where I think we should be, but we believe that we will return to healthier revenue growth trends next year.",positive
33,That said it’s not clear that the economy has stabilized yet.,negative
34,So we are planning our budget somewhat more conservatively.,negative
35,"In 2023, we are going to focus our investments on a small number of high priority growth areas.",positive
36,"So that means that some teams will grow meaningfully, but most other teams will stay flat or shrink over the next year.",neutral
37,"In aggregate, we expect to end 2023 as either roughly the same size or even a slightly smaller organization than we are today.",neutral
38,"Three of the primary areas we are going to focus on are our AI discovery engine that’s powering Reels and other recommendation experiences, our ads and business messaging platforms and our future vision for the metaverse.",neutral
39,The internal indications I have seen suggest we are doing leading work and are on the right track with these investments.,positive
40,So I think that we should keep investing heavily in these areas.,positive
41,"As I have shared before, our goal is to grow Family of Apps operating income such that even with our AI infrastructure and Reality Labs investments, we can still meaningfully grow our overall company operating income in the long-term.",neutral
42,Our current surge in CapEx is largely due to building out our AI infrastructure and we would expect CapEx to come down as a percent of revenue over the long-term.,positive
43,"We expect Reality Labs expenses will increase meaningfully again in 2023, with the biggest drivers of that being the launch of the next generation of our consumer Quest headset and hiring that has been done in 2022, but for which we are going to be paying the first full year of salaries next year.",negative
44,"More broadly, beyond 2023, we expect to pace Reality Labs investments to ensure that we can achieve our goal of growing overall company operating income.",positive
45,Our capital allocation philosophy over the long-term is to allocate a portion of the profits generated from the Family of Apps towards these future-focused areas while enabling a greater return of capital to shareholders.,neutral
46,Alright.,neutral
47,Now I’d like to share some updates on the progress that we are seeing in these product areas.,neutral
48,"Our AI discovery engine is playing an increasingly important role across our products, especially as advances enable us to recommend more interesting content from across our networks and feeds that used to be primarily driven just by the people and accounts you follow.",positive
49,"So this, of course, includes Reels, which continues to grow quickly across our apps, both in production and consumption.",positive
50,There are now more than 140 billion Reels plays across Facebook and Instagram each day.,positive
51,That’s a 50% increase from 6 months ago.,positive
52,Reels is incremental to time spent on our apps.,positive
53,The trends look good here and we believe that we are gaining time spent share on competitors like TikTok.,positive
54,"Over time, I expect a few things to set our products apart here.",neutral
55,"First is that our discovery engine work allows us to recommend all types of content beyond Reels as well, including photos, text, links, communities, short and long-form videos and more.",neutral
56,"Second is that we can mix this content along posts – alongside posts from your family and friends, which can’t be generated by AI alone.",neutral
57,And third is more social interactions move to messaging.,neutral
58,We are developing a flywheel between discovery and messaging that are going to make these apps stronger.,positive
59,"On Instagram alone, people already reshare Reels 1 billion times a day through DMs.",positive
60,"Moving to monetization, I’ve discussed in the past how the growth of short-form video creates near-term challenges since Reels doesn’t monetize at the rate of Feed or Stories yet.",negative
61,"That means that as Reels grows, we are displacing revenue from higher monetizing surfaces.",negative
62,"And I think this is clearly the right thing to do, so Reels can grow with the demand that we are seeing, but closing this gap is also a high priority.",positive
63,"Even with the progress we have made, we are still choosing to take a more than $500 million quarterly revenue headwind with this shift, but we expect to get to a more neutral place over the next 10 – sort of 12 to 18 months.",negative
64,I mentioned last quarter that Instagram Reels had crossed a $1 billion annual revenue run-rate.,positive
65,We continue scaling monetization across both Instagram and Facebook and the combined run-rate across these apps is now $3 billion.,positive
66,"Beyond Reels, messaging is another major monetization opportunity.",neutral
67,Billions of people and millions of businesses use WhatsApp and Messenger everyday and we are confident that we can connect them in ways that create valuable experiences.,positive
68,"We started with click-to-messaging ads which lets businesses run ads on Facebook and Instagram that start a thread on Messenger, WhatsApp or Instagram Direct, so they can communicate with customers directly.",neutral
69,And this is one of our fastest growing ads products with a $9 billion annual run-rate.,positive
